dataset,controller,n_instances,n_intervened,n_collisions,n_conditioned,nuisance_intervention_rate,comfort_exceedance_rate,induced_collision_rate,cond_median_peak_decel_mps2,cond_p90_peak_decel_mps2,cond_median_brake_duration_s,cond_p90_brake_duration_s,cond_median_min_residual_gap_m,dataset_label
us101,pi,5943,83,0,83,0.013966010432441526,0.0010095911155981827,0.0,1.448561854480808,2.3265168755360035,0.46,1.06,2.201128511271421,US-101
us101,pi_tuned,5943,419,0,419,0.07050311290593976,0.005721016321723035,0.0,1.2613208865857573,2.992040219660768,0.4,0.86,4.198880411747746,US-101
us101,pi_sd,5943,1432,0,1432,0.24095574625609958,0.046945986875315496,0.0,2.227771654641234,3.9513291014955088,0.54,0.94,6.287840640711707,US-101
i80,pi,15201,283,0,283,0.018617196237089666,0.0015130583514242485,0.0,1.4446538075789168,2.9083030808719785,0.52,1.0,2.373120721941967,I-80
i80,pi_tuned,15201,1588,0,1588,0.10446681139398724,0.010459838168541544,0.0,1.296712588473275,3.081261015568577,0.4,0.94,4.122941367984896,I-80
i80,pi_sd,15201,2668,0,2668,0.17551476876521283,0.029866456154200385,0.0,2.18966699577226,3.705140965720823,0.54,0.9,3.982569263471852,I-80
