driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s,stratum,sat_gap_vs_star_pp
2,2,pi_sd,0.9954732797129072,1.65,2.35,2.6,2.35,highd_external,severity,Stopping-distance,309,0.0,0.0,0.0,L2–D2,0.0
2,2,rss_longitudinal,0.9909465594258142,1.65,2.35,2.6,2.35,highd_external,severity,RSS longitudinal,309,0.0045267202870928,0.0,0.0,L2–D2,0.45267202870927997
1,3,star,0.9999999999999992,1.4,2.05,2.25,2.05,highd_external,frequency,Upper bound,750,0.0,0.0,0.0,L3–D1,0.0
1,3,pi,0.6946666666666663,1.6,,,1.95,highd_external,frequency,Weak TTC,750,0.305333333333333,,-0.0999999999999998,L3–D1,30.533333333333303
1,3,pi_tuned,0.9919999999999992,1.4,2.1,2.45,2.1,highd_external,frequency,Strong TTC,750,0.008,0.0500000000000002,0.0500000000000002,L3–D1,0.8
1,3,pi_sd,0.9999999999999992,1.4,2.05,2.25,2.05,highd_external,frequency,Stopping-distance,750,0.0,0.0,0.0,L3–D1,0.0
1,3,rss_longitudinal,0.9999999999999992,1.4,2.05,2.25,2.05,highd_external,frequency,RSS longitudinal,750,0.0,0.0,0.0,L3–D1,0.0
1,3,star,1.0,1.55,2.2,2.4,2.2,highd_external,severity,Upper bound,750,0.0,0.0,0.0,L3–D1,0.0
1,3,pi,0.6125617369114089,1.85,,,2.0,highd_external,severity,Weak TTC,750,0.387438263088591,,-0.2000000000000001,L3–D1,38.7438263088591
1,3,pi_tuned,0.9868071080180842,1.6,2.3,2.75,2.25,highd_external,severity,Strong TTC,750,0.0131928919819156,0.0999999999999996,0.0499999999999998,L3–D1,1.31928919819156
1,3,pi_sd,1.0,1.55,2.2,2.4,2.2,highd_external,severity,Stopping-distance,750,0.0,0.0,0.0,L3–D1,0.0
1,3,rss_longitudinal,1.0,1.55,2.2,2.4,2.2,highd_external,severity,RSS longitudinal,750,0.0,0.0,0.0,L3–D1,0.0
2,3,star,0.9974160206718344,1.15,1.9,2.1,1.9,highd_external,frequency,Upper bound,387,0.0,0.0,0.0,L3–D2,0.0
2,3,pi,0.7777777777777775,1.25,,,1.75,highd_external,frequency,Weak TTC,387,0.2196382428940568,,-0.1499999999999999,L3–D2,21.963824289405682
2,3,pi_tuned,0.9974160206718344,1.15,1.95,2.15,1.9,highd_external,frequency,Strong TTC,387,0.0,0.05,0.0,L3–D2,0.0
2,3,pi_sd,0.9974160206718344,1.15,1.9,2.1,1.9,highd_external,frequency,Stopping-distance,387,0.0,0.0,0.0,L3–D2,0.0
2,3,rss_longitudinal,0.9974160206718344,1.15,1.9,2.1,1.9,highd_external,frequency,RSS longitudinal,387,0.0,0.0,0.0,L3–D2,0.0
2,3,star,0.9936493441145876,1.4,2.1,2.4,2.1,highd_external,severity,Upper bound,387,0.0,0.0,0.0,L3–D2,0.0
2,3,pi,0.670685459576291,1.55,,,1.9,highd_external,severity,Weak TTC,387,0.3229638845382967,,-0.2000000000000001,L3–D2,32.29638845382967
2,3,pi_tuned,0.9936493441145876,1.4,2.2,2.65,2.2,highd_external,severity,Strong TTC,387,0.0,0.1,0.1,L3–D2,0.0
2,3,pi_sd,0.9936493441145876,1.4,2.1,2.4,2.1,highd_external,severity,Stopping-distance,387,0.0,0.0,0.0,L3–D2,0.0
2,3,rss_longitudinal,0.9936493441145876,1.4,2.1,2.4,2.1,highd_external,severity,RSS longitudinal,387,0.0,0.0,0.0,L3–D2,0.0
