dataset,controller,nuisance_intervention_rate,comfort_exceedance_rate,frequency_saturation,severity_saturation,cond_median_peak_decel_mps2,cond_median_brake_duration_s,induced_collision_rate
us101,pi,0.013966010432441526,0.0010095911155981827,0.5097593598712169,0.4606130344918582,1.448561854480808,0.46,0.0
us101,pi_tuned,0.07050311290593976,0.005721016321723035,0.954570742042778,0.912148498939372,1.2613208865857573,0.4,0.0
us101,pi_sd,0.24095574625609958,0.046945986875315496,0.9620752103973582,0.9241971267368684,2.227771654641234,0.54,0.0
i80,pi,0.018617196237089666,0.0015130583514242485,0.4936088718656757,0.4706277660996734,1.4446538075789168,0.52,0.0
i80,pi_tuned,0.10446681139398724,0.010459838168541544,0.9459834617497304,0.910867423562483,1.296712588473275,0.4,0.0
i80,pi_sd,0.17551476876521283,0.029866456154200385,0.9610519752371636,0.91128902367563,2.18966699577226,0.54,0.0
