dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.25,2.2,2.35,400
us101,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
us101,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.75,1.75,1.75,400
us101,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.06224729193332956,0.05918469994382528,0.06485533791928512,400
us101,severity,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.3500000000000001,0.30000000000000027,0.4500000000000002,400
us101,severity,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
us101,severity,pi_sd,Stopping-distance,saturation,0.9241971267368684,0.9193842374293013,0.9284742582597292,400
us101,severity,pi_sd,Stopping-distance,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,pi_sd,Stopping-distance,delta_abs_q90_s,2.05,2.05,2.15,400
us101,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,,,400
us101,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.75,1.75,1.75,400
us101,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.05019866413583307,0.047878762098953274,0.05260465339707974,400
us101,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.1499999999999999,0.1499999999999999,0.25,400
us101,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,400
us101,severity,rss_longitudinal,RSS longitudinal,saturation,0.9261789857395818,0.9217750788967415,0.9300068332253913,400
us101,severity,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,1.25,1.25,1.25,400
us101,severity,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,2.15,2.1,2.2,400
us101,severity,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,,,,400
us101,severity,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.8,1.75,1.8,400
us101,severity,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.048216805133119656,0.0464185803982501,0.05055028988184304,400
us101,severity,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.25,0.20000000000000018,0.30000000000000027,400
