dataset,controller,n_instances,freq_mass,nuisance_intervention_rate,comfort_exceedance_rate,median_peak_decel_mps2,median_brake_duration_s,p90_peak_decel_mps2,median_min_residual_gap_m
us101,pi,5943,1981.0,0.0139660104324415,0.0010095911155981,0.0,0.0,0.0,7.877144520000025
us101,pi_sd,5943,1981.0,0.2409557462560992,0.0469459868753155,0.0,0.0,2.458165473144711,8.199372374400024
us101,pi_tuned,5943,1981.0,0.0705031129059397,0.005721016321723,0.0,0.0,0.0,7.911522911999929
i80,pi,15201,5066.999999999999,0.0186171962370896,0.0015130583514242,0.0,0.0,0.0,6.672072000000001
i80,pi_sd,15201,5066.999999999999,0.1755147687652128,0.0298664561542003,0.0,0.0,2.0389039723290856,6.8183769501204194
i80,pi_tuned,15201,5066.999999999999,0.1044668113939872,0.0104598381685415,0.0,0.0,0.7045509931286635,6.761744159999998
