recording_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
05,pi,0.7186544342507646,1.55,,,1.95,highd_external,frequency,Weak TTC,327,0.28134556574923564,,-0.050000000000000044
05,pi_tuned,1.0000000000000002,1.35,2.05,2.35,2.05,highd_external,frequency,Strong TTC,327,0.0,0.04999999999999982,0.04999999999999982
05,pi_sd,1.0000000000000002,1.35,2.0,2.2,2.0,highd_external,frequency,Stopping-distance,327,0.0,0.0,0.0
05,rss_longitudinal,1.0000000000000002,1.35,2.0,2.2,2.0,highd_external,frequency,RSS longitudinal,327,0.0,0.0,0.0
05,star,1.0,1.55,2.15,2.4,2.15,highd_external,severity,Upper bound,327,0.0,0.0,0.0
05,pi,0.6280593414131888,1.85,,,2.05,highd_external,severity,Weak TTC,327,0.37194065858681125,,-0.10000000000000009
05,pi_tuned,1.0,1.6,2.25,2.65,2.25,highd_external,severity,Strong TTC,327,0.0,0.10000000000000009,0.10000000000000009
05,pi_sd,1.0,1.55,2.15,2.4,2.15,highd_external,severity,Stopping-distance,327,0.0,0.0,0.0
05,rss_longitudinal,1.0,1.55,2.15,2.4,2.15,highd_external,severity,RSS longitudinal,327,0.0,0.0,0.0
06,star,0.9975669099756692,1.35,2.05,2.2,2.05,highd_external,frequency,Upper bound,411,0.0,0.0,0.0
06,pi,0.7201946472019467,1.5,,,1.9,highd_external,frequency,Weak TTC,411,0.2773722627737225,,-0.1499999999999999
06,pi_tuned,0.9927007299270074,1.35,2.1,2.3,2.1,highd_external,frequency,Strong TTC,411,0.0048661800486617945,0.050000000000000266,0.050000000000000266
06,pi_sd,0.9975669099756692,1.35,2.05,2.2,2.05,highd_external,frequency,Stopping-distance,411,0.0,0.0,0.0
06,rss_longitudinal,0.9975669099756692,1.35,2.05,2.2,2.05,highd_external,frequency,RSS longitudinal,411,0.0,0.0,0.0
06,star,0.9954052027128483,1.55,2.15,2.45,2.15,highd_external,severity,Upper bound,411,0.0,0.0,0.0
06,pi,0.6308985611100109,1.75,,,1.95,highd_external,severity,Weak TTC,411,0.3645066416028374,,-0.19999999999999996
06,pi_tuned,0.9877827469930439,1.55,2.25,2.8,2.2,highd_external,severity,Strong TTC,411,0.007622455719804355,0.10000000000000009,0.050000000000000266
06,pi_sd,0.9954052027128483,1.55,2.15,2.45,2.15,highd_external,severity,Stopping-distance,411,0.0,0.0,0.0
06,rss_longitudinal,0.9954052027128483,1.55,2.15,2.45,2.15,highd_external,severity,RSS longitudinal,411,0.0,0.0,0.0
07,star,1.0000000000000004,1.15,1.7,1.95,1.7,highd_external,frequency,Upper bound,204,0.0,0.0,0.0
07,pi,0.808823529411765,1.3,,,1.75,highd_external,frequency,Weak TTC,204,0.1911764705882354,,0.050000000000000044
07,pi_tuned,0.9852941176470593,1.15,1.75,1.95,1.7,highd_external,frequency,Strong TTC,204,0.014705882352941124,0.050000000000000044,0.0
07,pi_sd,1.0000000000000004,1.15,1.7,1.95,1.7,highd_external,frequency,Stopping-distance,204,0.0,0.0,0.0
07,rss_longitudinal,1.0000000000000004,1.15,1.7,1.95,1.7,highd_external,frequency,RSS longitudinal,204,0.0,0.0,0.0
07,star,1.0,1.35,1.95,2.2,1.95,highd_external,severity,Upper bound,204,0.0,0.0,0.0
07,pi,0.737873451623433,1.55,,,1.85,highd_external,severity,Weak TTC,204,0.262126548376567,,-0.09999999999999987
07,pi_tuned,0.9659088212497814,1.35,1.95,2.25,1.85,highd_external,severity,Strong TTC,204,0.03409117875021861,0.0,-0.09999999999999987
07,pi_sd,1.0,1.35,1.95,2.2,1.95,highd_external,severity,Stopping-distance,204,0.0,0.0,0.0
07,rss_longitudinal,1.0,1.35,1.95,2.2,1.95,highd_external,severity,RSS longitudinal,204,0.0,0.0,0.0
08,star,0.9953703703703702,1.15,1.9,2.15,1.9,highd_external,frequency,Upper bound,432,0.0,0.0,0.0
08,pi,0.7824074074074073,1.3,,,1.95,highd_external,frequency,Weak TTC,432,0.2129629629629629,,0.050000000000000044
08,pi_tuned,0.9861111111111109,1.15,1.95,2.25,1.85,highd_external,frequency,Strong TTC,432,0.0092592592592593,0.050000000000000044,-0.04999999999999982
08,pi_sd,0.9953703703703702,1.15,1.9,2.15,1.9,highd_external,frequency,Stopping-distance,432,0.0,0.0,0.0
08,rss_longitudinal,0.9953703703703702,1.15,1.9,2.15,1.9,highd_external,frequency,RSS longitudinal,432,0.0,0.0,0.0
08,star,0.9893987964636786,1.45,2.15,2.55,2.15,highd_external,severity,Upper bound,432,0.0,0.0,0.0
08,pi,0.671341190786005,1.7,,,2.1,highd_external,severity,Weak TTC,432,0.3180576056776736,,-0.04999999999999982
08,pi_tuned,0.968196389391036,1.45,2.3,2.8,2.2,highd_external,severity,Strong TTC,432,0.021202407072642537,0.1499999999999999,0.050000000000000266
08,pi_sd,0.9893987964636786,1.45,2.15,2.55,2.15,highd_external,severity,Stopping-distance,432,0.0,0.0,0.0
08,rss_longitudinal,0.9893987964636786,1.45,2.15,2.55,2.15,highd_external,severity,RSS longitudinal,432,0.0,0.0,0.0
09,star,0.9999999999999994,1.2,1.9,2.2,1.9,highd_external,frequency,Upper bound,354,0.0,0.0,0.0
09,pi,0.7937853107344629,1.3,,,1.75,highd_external,frequency,Weak TTC,354,0.20621468926553654,,-0.1499999999999999
09,pi_tuned,0.9915254237288128,1.2,1.95,2.25,1.9,highd_external,frequency,Strong TTC,354,0.00847457627118664,0.050000000000000044,0.0
09,pi_sd,0.9999999999999994,1.2,1.9,2.2,1.9,highd_external,frequency,Stopping-distance,354,0.0,0.0,0.0
09,rss_longitudinal,0.9999999999999994,1.2,1.9,2.2,1.9,highd_external,frequency,RSS longitudinal,354,0.0,0.0,0.0
