reference_dataset,external_dataset,weight_mode,controller,controller_label,metric,ngsim_value,highd_value,highd_minus_ngsim
ngsim_pooled,highd_external,severity,pi,Weak TTC,sat_gap_vs_star,0.5059940826926694,0.39794209126525715,-0.10805199142741229
ngsim_pooled,highd_external,severity,pi,Weak TTC,delta90_penalty_vs_star_s,,,
ngsim_pooled,highd_external,severity,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.15000000000000013,-0.25,-0.09999999999999987
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,saturation,0.9114046630862112,0.9461404997177281,0.034735836631516914
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta_abs_q50_s,1.2,1.4,0.19999999999999996
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta_abs_q90_s,2.25,2.45,0.20000000000000018
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta_abs_q95_s,,,
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta_rel_q90_s,1.75,2.1,0.3500000000000001
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,sat_gap_vs_star,0.061017347245171494,0.046089414224815384,-0.01492793302035611
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.3999999999999999,0.25,-0.1499999999999999
ngsim_pooled,highd_external,severity,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.04999999999999982,2.220446049250313e-16
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,saturation,0.9167022439013549,0.9874663230350194,0.07076407913366445
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta_abs_q50_s,1.2,1.4,0.19999999999999996
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta_abs_q90_s,2.15,2.2,0.050000000000000266
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,2.55,
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.7,2.15,0.44999999999999996
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.05571976643002774,0.004763590907524096,-0.050956175522503644
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.2999999999999998,0.0,-0.2999999999999998
ngsim_pooled,highd_external,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.10000000000000009,0.0,0.10000000000000009
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,saturation,0.9209837142151432,0.986337980228622,0.06535426601347871
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta_abs_q50_s,1.2,1.4,0.19999999999999996
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta_abs_q90_s,2.15,2.2,0.050000000000000266
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta_abs_q95_s,,2.6,
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta_rel_q90_s,1.75,2.15,0.3999999999999999
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,sat_gap_vs_star,0.0514382961162394,0.005891933713921493,-0.04554636240231791
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta90_penalty_vs_star_s,0.2999999999999998,0.0,-0.2999999999999998
ngsim_pooled,highd_external,severity,rss_longitudinal,RSS longitudinal,delta_rel90_penalty_vs_star_s,-0.050000000000000044,0.0,0.050000000000000044
