driving_direction,location_id,controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
1,3,star,0.9999999999999999,1.55,2.2,2.4,2.2,highd_external,severity,Upper bound,750,0.0,0.0,0.0
1,3,pi,0.6125617369114089,1.85,,,2.0,highd_external,severity,Weak TTC,750,0.387438263088591,,-0.20000000000000018
1,3,pi_tuned,0.9868071080180842,1.6,2.3,2.75,2.25,highd_external,severity,Strong TTC,750,0.013192891981915644,0.09999999999999964,0.04999999999999982
1,3,pi_sd,0.9999999999999999,1.55,2.2,2.4,2.2,highd_external,severity,Stopping-distance,750,0.0,0.0,0.0
1,3,rss_longitudinal,0.9999999999999999,1.55,2.2,2.4,2.2,highd_external,severity,RSS longitudinal,750,0.0,0.0,0.0
2,3,star,0.9974160206718343,1.15,1.9,2.1,1.9,highd_external,frequency,Upper bound,387,0.0,0.0,0.0
2,3,pi,0.7777777777777775,1.25,,,1.75,highd_external,frequency,Weak TTC,387,0.21963824289405687,,-0.1499999999999999
2,3,pi_tuned,0.9974160206718343,1.15,1.95,2.15,1.9,highd_external,frequency,Strong TTC,387,0.0,0.050000000000000044,0.0
2,3,pi_sd,0.9974160206718343,1.15,1.9,2.1,1.9,highd_external,frequency,Stopping-distance,387,0.0,0.0,0.0
2,3,rss_longitudinal,0.9974160206718343,1.15,1.9,2.1,1.9,highd_external,frequency,RSS longitudinal,387,0.0,0.0,0.0
2,3,star,0.9936493441145877,1.4,2.1,2.4,2.1,highd_external,severity,Upper bound,387,0.0,0.0,0.0
2,3,pi,0.670685459576291,1.55,,,1.9,highd_external,severity,Weak TTC,387,0.3229638845382967,,-0.20000000000000018
2,3,pi_tuned,0.9936493441145877,1.4,2.2,2.65,2.2,highd_external,severity,Strong TTC,387,0.0,0.10000000000000009,0.10000000000000009
2,3,pi_sd,0.9936493441145877,1.4,2.1,2.4,2.1,highd_external,severity,Stopping-distance,387,0.0,0.0,0.0
2,3,rss_longitudinal,0.9936493441145877,1.4,2.1,2.4,2.1,highd_external,severity,RSS longitudinal,387,0.0,0.0,0.0
1,4,star,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,Upper bound,648,0.0,0.0,0.0
1,4,pi,0.7175925925925927,1.4,,,1.9,highd_external,frequency,Weak TTC,648,0.2793209876543209,,-0.10000000000000009
1,4,pi_tuned,0.9876543209876544,1.2,2.05,2.5,2.05,highd_external,frequency,Strong TTC,648,0.00925925925925919,0.04999999999999982,0.04999999999999982
1,4,pi_sd,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,Stopping-distance,648,0.0,0.0,0.0
1,4,rss_longitudinal,0.9969135802469136,1.2,2.0,2.3,2.0,highd_external,frequency,RSS longitudinal,648,0.0,0.0,0.0
1,4,star,0.9930456726725669,1.5,2.35,2.65,2.3,highd_external,severity,Upper bound,648,0.0,0.0,0.0
1,4,pi,0.6039087079507575,1.85,,,2.05,highd_external,severity,Weak TTC,648,0.3891369647218095,,-0.25
1,4,pi_tuned,0.9738051405110867,1.5,2.55,3.05,2.4,highd_external,severity,Strong TTC,648,0.01924053216148025,0.19999999999999973,0.10000000000000009
1,4,pi_sd,0.9930456726725669,1.5,2.35,2.65,2.3,highd_external,severity,Stopping-distance,648,0.0,0.0,0.0
1,4,rss_longitudinal,0.9930456726725669,1.5,2.35,2.65,2.3,highd_external,severity,RSS longitudinal,648,0.0,0.0,0.0
