controller,saturation,delta_abs_q50_s,delta_abs_q90_s,delta_abs_q95_s,delta_rel_q90_s,dataset,weight_mode,controller_label,n_instances,sat_gap_vs_star,delta90_penalty_vs_star_s,delta_rel90_penalty_vs_star_s
star,0.9743957908727016,1.25,1.9,2.2,1.8,us101,severity,Upper bound,84483,0.0,0.0,0.0
pi,0.4606130344918582,,,,1.65,us101,severity,Weak TTC,84483,0.5137827563808433,,-0.1500000000000001
pi_tuned,0.912148498939372,1.25,2.25,,1.75,us101,severity,Strong TTC,84483,0.0622472919333295,0.3500000000000001,-0.05
pi_sd,0.9241971267368684,1.25,2.05,,1.75,us101,severity,Stopping-distance,84483,0.050198664135833,0.1499999999999999,-0.05
star,0.9709964365122988,1.15,1.85,2.25,1.75,i80,severity,Upper bound,134718,0.0,0.0,0.0
pi,0.4706277660996734,,,,1.65,i80,severity,Weak TTC,134718,0.5003686704126253,,-0.1
pi_tuned,0.910867423562483,1.15,2.3,,1.7,i80,severity,Strong TTC,134718,0.0601290129498157,0.4499999999999997,-0.05
pi_sd,0.91128902367563,1.15,2.25,,1.65,i80,severity,Stopping-distance,134718,0.0597074128366688,0.3999999999999999,-0.1
