dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
us101,severity,pi_sd,Stopping-distance,delta_abs_q95_s,,,,400
us101,severity,pi_sd,Stopping-distance,delta_rel_q90_s,1.75,1.75,1.75,400
us101,severity,pi_sd,Stopping-distance,sat_gap_vs_star,0.050198664135833,0.0478787620989532,0.0526046533970797,400
us101,severity,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.1499999999999999,0.1499999999999999,0.25,400
us101,severity,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.05,-0.05,-0.05,400
i80,frequency,star,Upper bound,saturation,0.994492198518388,0.9938760967354026,0.9950494737154648,400
i80,frequency,star,Upper bound,delta_abs_q50_s,0.9,0.9,0.9,400
i80,frequency,star,Upper bound,delta_abs_q90_s,1.45,1.45,1.45,400
i80,frequency,star,Upper bound,delta_abs_q95_s,1.65,1.65,1.65,400
i80,frequency,star,Upper bound,delta_rel_q90_s,1.45,1.4,1.45,400
i80,frequency,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
i80,frequency,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,frequency,star,Upper bound,delta_rel90_penalty_vs_star_s,0.0,0.0,0.0,400
i80,frequency,pi,Weak TTC,saturation,0.4936088718656757,0.4905645496518652,0.4970497632090735,400
i80,frequency,pi,Weak TTC,delta_abs_q50_s,,,,400
i80,frequency,pi,Weak TTC,delta_abs_q90_s,,,,400
i80,frequency,pi,Weak TTC,delta_abs_q95_s,,,,400
i80,frequency,pi,Weak TTC,delta_rel_q90_s,1.55,1.55,1.55,400
i80,frequency,pi,Weak TTC,sat_gap_vs_star,0.5008833266527124,0.4973570718092608,0.5039356284980477,400
i80,frequency,pi,Weak TTC,delta90_penalty_vs_star_s,,,,400
i80,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,0.1,0.1,0.1500000000000001,400
i80,frequency,pi_tuned,Strong TTC,saturation,0.9459834617497304,0.9444591665553228,0.947475467272376,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,0.95,0.95,0.95,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.65,1.65,1.65,400
i80,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,,,,400
i80,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.45,1.45,1.45,400
i80,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.0485087367686576,0.0471206520286822,0.0498530263216496,400
i80,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.1999999999999999,0.1999999999999999,0.1999999999999999,400
i80,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,0.0,0.05,400
i80,frequency,pi_sd,Stopping-distance,saturation,0.9610519752371636,0.959871360916878,0.9622999524933562,400
i80,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,0.9,0.9,0.9,400
i80,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.5,1.5,1.5,400
i80,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,1.9,1.85,1.9,400
i80,frequency,pi_sd,Stopping-distance,delta_rel_q90_s,1.4,1.35,1.4,400
i80,frequency,pi_sd,Stopping-distance,sat_gap_vs_star,0.0334402232812245,0.0322969090990068,0.0344586469514096,400
i80,frequency,pi_sd,Stopping-distance,delta90_penalty_vs_star_s,0.05,0.05,0.05,400
i80,frequency,pi_sd,Stopping-distance,delta_rel90_penalty_vs_star_s,-0.05,-0.0999999999999998,-0.0499999999999998,400
i80,severity,star,Upper bound,saturation,0.9709964365122988,0.967393538602518,0.9743736688998662,400
i80,severity,star,Upper bound,delta_abs_q50_s,1.15,1.15,1.15,400
i80,severity,star,Upper bound,delta_abs_q90_s,1.85,1.85,1.85,400
i80,severity,star,Upper bound,delta_abs_q95_s,2.25,2.2,2.3,400
i80,severity,star,Upper bound,delta_rel_q90_s,1.75,1.75,1.75,400
i80,severity,star,Upper bound,sat_gap_vs_star,0.0,0.0,0.0,400
i80,severity,star,Upper bound,delta90_penalty_vs_star_s,0.0,0.0,0.0,400
